,site,year,species,nestID,loc_Year_nestID,plot,Nest_location_northing_WGS84_Dec_degree,Nest_location_Easting_WGS84_Dec_degree,Photo_taken,temp_probe,Trapped(y/n),First_Trapping_date,Second_Trapping_date,Third_Trapping_date,Mayfield_start_date (formula),Mayfield_end date (formula),Mayfield_end_date (formula)_source,Mayfield_days (formula),Fate ,fail cause,Completed_Clutch_Size,Observed_Clutch_Completion_date,#_of_Eggs_Hatched,Hatch_Date,Method_Hatch_Date_Determined,Estimated Nest Initiation Date,Estimated_nest_initiation_date_source,Inc_duration_used_for_estimated_nest_initiation_calculation,Clutch_size_when_nest_found,Clutch_status_when_nest_found,Date Found ,Last Active,Last Checked,June 1st,June 2nd,June 3rd,June 4th,June 5th,June 6th,June 7th,June 8th,June 9th,June 10th,June 11th,June 12th,June 13th,June 14th,June 15th,June 16th,June 17th,June 18th,June 19th,June 20th,June 21st,June 22nd,June 23rd,June 24th,June 25th,June 26th,June 27th,June 28th,June 29th,June 30th,July 1st,July 2nd,July 3rd,July 4th,July 5th,July 6th,July 7th,July 8th,July 9th,July 10th,July 11th,July 12th,July 13th,July 14th,July 15th,July 16th,July 17th,July 18th,July 19th,July 20th,July 21st,July 22nd,July 23rd,July 24th,July 25th,July 26th,July 27th,July 28th,July 29th,July 30th,July 31st,August 1st,August 2nd,August 3rd,August 4th,August 5th,Notes_Field,,
,Coats Island,2004,AMGP,APG01,c2004-APG01,H,62.89028,-82.49022,,,n,,,,29-Jun-2004,03-Jul-2004,date between last active and last checked,4.5,failed,predated,4,,0,,,26-Jun-2004,before_this_date_not_floated,26.5,4,complete,29-Jun-2004,29-Jun-2004,08-Jul-2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4e,,,,,,,,,0e,,,,,,,,,,,,3e (no staring-1524),,,,,,,,,,,,,,,,,4 eggs? 0 eggs? 3 eggs?,,
,Coats Island,2004,AMGP,APG02,c2004-APG02,B,62.86192,-82.48950,,,n,,,,29-Jun-2004,02-Jul-2004,date between last active and last checked,3.5,failed,predated,4,,0,,,26-Jun-2004,before_this_date_not_floated,26.5,4,complete,29-Jun-2004,29-Jun-2004,06-Jul-2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4e,,,,,,,0e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coats Island,2004,AMGP,APJ01,c2004-APJ01,,62.86136,-82.48381,,,n,,,,25-Jun-2004,22-Jul-2004,hatch date,26.5,success,na,4,25-Jun-2004,1-4,22-Jul-2004,estimate,22-Jun-2004,hatch_date_minus_incubation_duration,26.5,2,incomplete,24-Jun-2004,23-Jul-2004,23-Jul-2004,,,,,,,,,,,,,,,,,,,,,,,,2e,,,,,,,,,,,,4e (sink - see float sheet),,,,,"4e (heavy, no stars)",,,,,,4e (no star/pip),,4e (all staring-0925h),,,,1 dead wet chick,,,,,,,,,,,,,,,,
,Coats Island,2004,AMGP,APJ02,c2004-APJ02,,62.87881,-82.47169,,,n,,,,11-Jul-2004,23-Jul-2004,date last active,12,unknown,na,3,,unk,,,02-Jul-2004,egg floating,26.5,3,complete,11-Jul-2004,23-Jul-2004,23-Jul-2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3e (sink ~ 90°),3e (sink - see float sheet),,,,3e (no stars - 1648h),,,,,,,3e (no stars - 0715h),,,,,,,,,,,,,,,,
,Coats Island,2004,AMGP,APP01,c2004-APP01,,62.87381,-82.45756,,,n,,,,01-Jul-2004,10-Jul-2004,date between last active and last checked,9,failed,predated,2,,0,,,22-Jun-2004,egg floating,26.5,2,complete,01-Jul-2004,08-Jul-2004,12-Jul-2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2e,,,,,,,2e (float ~ 90°),,,,0e,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coats Island,2004,AMGP,APP02,c2004-APP02,,62.88083,-82.49253,,,n,,,,04-Jul-2004,14-Jul-2004,date between last active and last checked,10.5,failed,predated,4,,0,,,26-Jun-2004,egg floating,26.5,4,complete,04-Jul-2004,12-Jul-2004,17-Jul-2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4e (sink ~50°),,,,4e ( float - see float sheet),,,,4e (4e not light),,,,,0e (no bits- 1131h),,,,,,,,,,,,,,,,,,,,,,
,Coats Island,2004,AMGP,APP03,c2004-APP03,,62.86867,-82.46314,,,n,,,,11-Jul-2004,22-Jul-2004,date last active,11,unknown,na,4,,unk,,,02-Jul-2004,egg floating,26.5,4,complete,11-Jul-2004,22-Jul-2004,22-Jul-2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4e (sink - see float sheet),,,,,"4e (no stars, not light - 1350h)",,,4e no star/pip,,,4e  (no star/no pip - 1452h),,,,,,,,,,,,,,,,,
,Coats Island,2004,BBPL,BBG01,c2004-BBG01,B,62.87017,-82.49514,,,n,,,,27-Jun-2004,01-Jul-2004,date between last active and last checked,4.5,failed,predated,4,,0,,,24-Jun-2004,before_this_date_not_floated,25,4,complete,27-Jun-2004,27-Jun-2004,06-Jul-2004,,,,,,,,,,,,,,,,,,,,,,,,,,,4e,,,,,,,,,0e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coats Island,2004,BBPL,BBG02,c2004-BBG02,J,62.91500,-82.46669,,,n,,,,30-Jun-2004,19-Jul-2004,date between last active and last checked,19,failed,human,4,,0,,,24-Jun-2004,egg floating,25,4,complete,30-Jun-2004,19-Jul-2004,19-Jul-2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4e,,,,,,,,4e (float),,,,,,,,4e no stars - 1350h,,,4e STEPPED ON,,,,,,,,,,,,,,,,,,,,
,Coats Island,2004,BBPL,BBG03,c2004-BBG03,J,62.91914,-82.47272,,,y,"July 24, 2004",,,30-Jun-2004,24-Jul-2004,hatch date,24,success,na,4,,1-4,24-Jul-2004,chick seen,26-Jun-2004,hatch_date_minus_incubation_duration,25,4,complete,30-Jun-2004,24-Jul-2004,24-Jul-2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4e,,,,,,,,4e (float),,,,,,,4e no stars - 1153h,4e (no star/pip),,,4e (no stars - 1527h),,,4e (2 stared-1234h),,"1c, 3e (1 star 2 pip) - 0956h)",,,,,,,,,,,,,,,
